Episode 374/500 | Reward: 51.0 | Epsilon: 0.100
Episode 375/500 | Reward: 95.0 | Epsilon: 0.100
💾 Checkpoint sauvegardé : models/doom_dqn_ep375.pth
Episode 376/500 | Reward: -305.0 | Epsilon: 0.100
Episode 377/500 | Reward: -113.0 | Epsilon: 0.100
Episode 378/500 | Reward: -330.0 | Epsilon: 0.100
Episode 379/500 | Reward: -325.0 | Epsilon: 0.100
Episode 380/500 | Reward: 34.0 | Epsilon: 0.100
Episode 381/500 | Reward: 87.0 | Epsilon: 0.100
Episode 382/500 | Reward: 95.0 | Epsilon: 0.100
Episode 383/500 | Reward: 50.0 | Epsilon: 0.100
Episode 384/500 | Reward: -7.0 | Epsilon: 0.100
Episode 385/500 | Reward: 35.0 | Epsilon: 0.100
Episode 386/500 | Reward: -325.0 | Epsilon: 0.100
Episode 387/500 | Reward: -10.0 | Epsilon: 0.100
Episode 388/500 | Reward: -55.0 | Epsilon: 0.100
Episode 389/500 | Reward: -13.0 | Epsilon: 0.100
Episode 390/500 | Reward: 22.0 | Epsilon: 0.100
Episode 391/500 | Reward: -355.0 | Epsilon: 0.100
Episode 392/500 | Reward: 11.0 | Epsilon: 0.100
Episode 393/500 | Reward: -1.0 | Epsilon: 0.100
Episode 394/500 | Reward: -69.0 | Epsilon: 0.100
Episode 395/500 | Reward: -320.0 | Epsilon: 0.100
Episode 396/500 | Reward: 83.0 | Epsilon: 0.100
Episode 397/500 | Reward: -54.0 | Epsilon: 0.100
Episode 398/500 | Reward: -34.0 | Epsilon: 0.100
Episode 399/500 | Reward: -25.0 | Epsilon: 0.100
Episode 400/500 | Reward: -9.0 | Epsilon: 0.100
Episode 401/500 | Reward: -345.0 | Epsilon: 0.100
Episode 402/500 | Reward: 51.0 | Epsilon: 0.100
Episode 403/500 | Reward: -325.0 | Epsilon: 0.100
Episode 404/500 | Reward: -325.0 | Epsilon: 0.100
Episode 405/500 | Reward: 9.0 | Epsilon: 0.100
Episode 406/500 | Reward: -31.0 | Epsilon: 0.100
Episode 407/500 | Reward: -320.0 | Epsilon: 0.100
Episode 408/500 | Reward: -320.0 | Epsilon: 0.100
Episode 409/500 | Reward: -315.0 | Epsilon: 0.100
Episode 410/500 | Reward: -145.0 | Epsilon: 0.100
Episode 411/500 | Reward: -330.0 | Epsilon: 0.100
Episode 412/500 | Reward: 39.0 | Epsilon: 0.100
Episode 413/500 | Reward: -69.0 | Epsilon: 0.100
Episode 414/500 | Reward: 71.0 | Epsilon: 0.100
Episode 415/500 | Reward: -310.0 | Epsilon: 0.100
Episode 416/500 | Reward: -10.0 | Epsilon: 0.100
Episode 417/500 | Reward: -320.0 | Epsilon: 0.100
Episode 418/500 | Reward: 95.0 | Epsilon: 0.100
Episode 419/500 | Reward: -330.0 | Epsilon: 0.100
Episode 420/500 | Reward: -305.0 | Epsilon: 0.100
Episode 421/500 | Reward: 75.0 | Epsilon: 0.100
Episode 422/500 | Reward: 87.0 | Epsilon: 0.100
Episode 423/500 | Reward: 95.0 | Epsilon: 0.100
Episode 424/500 | Reward: -325.0 | Epsilon: 0.100
